time,latitude,longitude,Uwind,Vwind
UTC,degrees_north,degrees_east,meter second-1,meter second-1
2025-01-07T10:00:00Z,18.79,-154.69,-1.682912,3.1897745
2025-01-07T10:00:00Z,18.79,-154.63,-1.734941,3.1907434
2025-01-07T10:00:00Z,18.79,-154.57,-1.7927018,3.1454372
2025-01-07T10:00:00Z,18.79,-154.51,-1.8590809,3.0919144
2025-01-07T10:00:00Z,18.845,-156.31,-2.0143073,4.0795474
2025-01-07T10:00:00Z,18.845,-156.25,-2.0669062,3.900487
2025-01-07T10:00:00Z,18.845,-156.19,-2.132828,3.7648246
2025-01-07T10:00:00Z,18.845,-156.13,-2.2393692,3.6188083
2025-01-07T10:00:00Z,18.845,-156.07,-2.3662856,3.448733
2025-01-07T10:00:00Z,18.845,-156.01,-2.4996576,3.2557642
2025-01-07T10:00:00Z,18.845,-155.95,-2.6617334,2.9812727
2025-01-07T10:00:00Z,18.845,-155.89,-2.8132744,2.6161137
2025-01-07T10:00:00Z,18.845,-155.83,-2.8779922,2.1666355
2025-01-07T10:00:00Z,18.845,-155.77,-2.8030965,1.6984547
2025-01-07T10:00:00Z,18.845,-155.71,-2.5751095,1.2944039
2025-01-07T10:00:00Z,18.845,-155.65,-2.264751,1.1648711
2025-01-07T10:00:00Z,18.845,-155.59,-2.0107288,1.3645345
2025-01-07T10:00:00Z,18.845,-155.53,-1.8617584,1.6705961
2025-01-07T10:00:00Z,18.845,-155.47,-1.7914702,1.9023936
2025-01-07T10:00:00Z,18.845,-155.41,-1.7256336,1.9484165
2025-01-07T10:00:00Z,18.845,-155.35,-1.624145,1.9160827
2025-01-07T10:00:00Z,18.845,-155.29,-1.5245743,1.9243792
2025-01-07T10:00:00Z,18.845,-155.23,-1.4390016,2.02252
2025-01-07T10:00:00Z,18.845,-155.17,-1.3506079,2.1873257
2025-01-07T10:00:00Z,18.845,-155.11,-1.2545606,2.361904
2025-01-07T10:00:00Z,18.845,-155.05,-1.1860572,2.505315
2025-01-07T10:00:00Z,18.845,-154.99,-1.2071153,2.5996075
2025-01-07T10:00:00Z,18.845,-154.93,-1.2744597,2.6727703
2025-01-07T10:00:00Z,18.845,-154.87,-1.3613608,2.7805657
2025-01-07T10:00:00Z,18.845,-154.81,-1.4550427,2.9059045
2025-01-07T10:00:00Z,18.845,-154.75,-1.5390317,3.0343168
2025-01-07T10:00:00Z,18.845,-154.69,-1.6163183,3.1537137
2025-01-07T10:00:00Z,18.845,-154.63,-1.6848298,3.2219105
2025-01-07T10:00:00Z,18.845,-154.57,-1.7426403,3.222068
2025-01-07T10:00:00Z,18.845,-154.51,-1.796261,3.1817973
2025-01-07T10:00:00Z,18.9,-156.31,-2.152152,4.26661
2025-01-07T10:00:00Z,18.9,-156.25,-2.1611276,4.0788517
2025-01-07T10:00:00Z,18.9,-156.19,-2.2127779,3.9379892
