time,latitude,longitude,Uwind,Vwind
UTC,degrees_north,degrees_east,meter second-1,meter second-1
2025-09-02T10:00:00Z,19.12,-155.23,-5.5972776,-4.8757677
2025-09-02T10:00:00Z,19.12,-155.17,-5.466831,-4.94149
2025-09-02T10:00:00Z,19.12,-155.11,-5.538955,-4.63668
2025-09-02T10:00:00Z,19.12,-155.05,-5.7458487,-4.1340566
2025-09-02T10:00:00Z,19.12,-154.99,-5.864985,-3.7300172
2025-09-02T10:00:00Z,19.12,-154.93,-5.7523704,-3.5165293
2025-09-02T10:00:00Z,19.12,-154.87,-5.5823755,-3.3529937
2025-09-02T10:00:00Z,19.12,-154.81,-5.480532,-3.1356828
2025-09-02T10:00:00Z,19.12,-154.75,-5.418397,-2.8778698
2025-09-02T10:00:00Z,19.12,-154.69,-5.381617,-2.587158
2025-09-02T10:00:00Z,19.12,-154.63,-5.33206,-2.3356802
2025-09-02T10:00:00Z,19.175,-156.19,-6.0243325,6.0522923
2025-09-02T10:00:00Z,19.175,-156.13,-5.2141585,5.2529263
2025-09-02T10:00:00Z,19.175,-156.07,-3.9959445,3.687885
2025-09-02T10:00:00Z,19.175,-156.01,-2.7680478,1.3763727
2025-09-02T10:00:00Z,19.175,-155.95,-1.975267,-0.5872018
2025-09-02T10:00:00Z,19.175,-155.89,-1.0452956,-1.2453599
2025-09-02T10:00:00Z,19.175,-155.83,-0.011819411,-1.5308878
2025-09-02T10:00:00Z,19.175,-155.77,-0.019543888,-1.7041813
2025-09-02T10:00:00Z,19.175,-155.71,-1.0578676,-1.510334
2025-09-02T10:00:00Z,19.175,-155.65,-1.342657,-1.0456456
2025-09-02T10:00:00Z,19.175,-155.59,-0.5874045,-0.20028564
2025-09-02T10:00:00Z,19.175,-155.53,-0.1760831,0.03157903
2025-09-02T10:00:00Z,19.175,-155.47,-1.4213259,-0.50649154
2025-09-02T10:00:00Z,19.175,-155.41,-3.726877,-1.259528
2025-09-02T10:00:00Z,19.175,-155.35,-5.2397256,-2.2134762
2025-09-02T10:00:00Z,19.175,-155.29,-5.3475046,-3.2784126
2025-09-02T10:00:00Z,19.175,-155.23,-5.0982485,-4.281864
2025-09-02T10:00:00Z,19.175,-155.17,-4.848361,-5.0337963
