Date, North (mm), East (mm), Vertical (mm)
2007-04-28,10.94,-9.34,-6.30
2007-04-29,12.03,-9.97,-17.01
2007-04-30,12.44,-8.96,-10.23
2007-05-01,11.16,-9.82,-7.19
2007-05-02,10.85,-9.36,-19.21
2007-05-03,11.21,-10.10,-9.75
2007-05-04,12.44,-11.72,-7.34
2007-05-05,13.93,-14.74,-8.35
2007-05-06,12.90,-9.84,-9.83
2007-05-07,13.72,-8.13,-11.42
2007-05-08,12.30,-9.57,-10.90
2007-05-09,11.92,-9.98,-9.82
2007-05-10,11.66,-9.66,-11.50
2007-05-11,12.29,-9.31,-18.76
2007-05-12,11.50,-9.45,-10.98
2007-05-13,12.93,-9.61,-11.60
2007-05-14,11.94,-9.00,-14.92
2007-05-15,11.99,-9.49,-10.71
2007-05-16,12.84,-10.50,-12.80
2007-05-17,12.23,-10.43,-12.24
2007-05-18,11.17,-9.63,-9.63
2007-05-19,11.98,-9.46,-14.06
2007-05-20,11.71,-9.84,-11.51
2007-05-21,12.07,-10.87,-5.15
2007-05-22,10.87,-8.83,-14.86
2007-05-23,12.47,-10.12,-11.92
2007-05-24,12.27,-10.29,-12.90
2007-05-25,11.87,-9.05,-9.94
2007-05-26,11.70,-9.99,-8.51
2007-05-27,13.84,-10.02,-6.75
2007-05-28,12.32,-10.75,-6.31
2007-05-29,11.25,-9.90,-6.75
2007-05-30,13.17,-9.65,-12.04
2007-05-31,12.53,-10.78,-7.42
2007-06-01,11.84,-10.83,-5.44
2007-06-02,13.76,-10.26,-11.17
2007-06-03,13.23,-10.40,-6.86
2007-06-04,12.93,-10.18,-5.65
2007-06-05,14.32,-11.68,-9.69
2007-06-06,15.03,-13.45,-3.57
2007-06-07,13.69,-11.50,-0.61
2007-06-08,12.79,-11.10,-3.61
2007-06-09,11.96,-10.73,-4.34
2007-06-10,13.86,-11.11,-6.55
2007-06-11,13.24,-10.92,-9.15
2007-06-12,13.31,-11.48,-5.43
2007-06-13,13.08,-10.56,-12.70
2007-06-14,12.78,-10.24,-13.74
2007-06-15,12.49,-10.43,-11.85
2007-06-16,13.14,-11.29,-11.93
2007-06-17,13.03,-10.48,-9.11
2007-06-18,13.06,-10.43,-7.25
2007-06-19,13.42,-10.45,-10.05
2007-06-20,12.62,-10.87,-15.79
2007-06-21,11.96,-10.53,-8.02
2007-06-22,11.93,-11.16,-10.82
2007-06-23,12.57,-10.58,-7.96
2007-06-24,12.85,-10.91,-12.85
2007-06-25,13.09,-9.90,-10.62
2007-06-26,13.45,-11.11,-12.68
2007-06-27,13.89,-10.95,-19.05
2007-06-28,12.02,-9.72,-13.15
2007-06-29,13.57,-11.56,-13.00
2007-06-30,14.17,-10.49,-12.42
2007-07-01,14.98,-10.64,-9.38
2007-07-02,14.17,-11.12,-6.67
2007-07-03,13.35,-11.10,-9.60
2007-07-04,12.66,-10.90,-10.69
